index,date,day,month,total_cases,men,women,new_cases,total_deaths,new_deaths,recovered,new_recovered,rate_total_cases,rate_new_cases,rate_total_deaths,rate_new_deaths,rate_recovered,doubling_time,MA7_doubling_time,reported_tests,pending_tests,total_tests,0-20,21-40,41-60,61-80,81+,region1,region2,region3,region4,region5
1,13/03/2020,13,3,1,,,1,0,0,0,0,,,,,,,,0,,0,,,,,,,,,,
2,14/03/2020,14,3,2,,,1,0,0,0,0,1,0,0,0,0,0.7,,58,,58,,,,,,,,,,
3,15/03/2020,15,3,3,,,1,1,1,0,0,0.5,0,0,0,0,1.4,,0,,0,,,,,,,,,,
4,16/03/2020,16,3,6,,,3,1,0,0,0,1,2,0,-1,0,0.7,,0,,0,,,,,,,,,,
5,17/03/2020,17,3,6,,,0,1,0,0,0,0,-1,0,0,0,0,,0,,0,,,,,,,,,,
6,18/03/2020,18,3,8,,,2,1,0,0,0,0.333333333,2,0,0,0,2.1,,0,,0,,,,,,,,,,
7,19/03/2020,19,3,9,,,1,1,0,0,0,0.125,-0.5,0,0,0,5.6,1.75,0,,0,,,,,,,,,,
8,20/03/2020,20,3,13,,,4,1,0,0,0,0.444444444,3,0,0,0,1.575,1.895833333,0,,0,,,,,,,,,,
9,21/03/2020,21,3,17,,,4,1,0,0,0,0.307692308,0,0,0,0,2.275,2.041666667,0,,0,,,,,,,,,,
10,22/03/2020,22,3,19,,,2,1,0,0,0,0.117647059,-0.5,0,0,0,5.95,2.916666667,0,,0,,,,,,,,,,
11,23/03/2020,23,3,21,,,2,1,0,0,0,0.105263158,0,0,0,0,6.65,4.025,0,,0,,,,,,,,,,
12,24/03/2020,24,3,21,,,0,1,0,0,0,0,-1,0,0,0,0,3.675,0,,0,,,,,,,,,,
13,25/03/2020,25,3,24,,,3,1,0,4,4,0.142857143,3,0,0,0,4.9,3.558333333,0,,0,,,,,,,,,,
14,26/03/2020,26,3,25,,,1,1,0,5,1,0.041666667,-0.666666667,0,0,0.25,16.8,6.095833333,0,,0,,,,,,,,,,
15,27/03/2020,27,3,28,,,3,1,0,5,0,0.12,2,0,0,0,5.833333333,6.688888889,0,,0,,,,,,,,,,
16,28/03/2020,28,3,34,,,6,1,0,10,5,0.214285714,1,0,0,1,3.266666667,6.241666667,0,,0,,,,,,,,,,
17,29/03/2020,29,3,36,,,2,1,0,10,0,0.058823529,-0.666666667,0,0,0,11.9,7.116666667,0,,0,,,,,,,,,,
18,30/03/2020,30,3,36,,,0,1,0,10,0,0,-1,0,0,0,0,7.116666667,0,,0,,,,,,,,,,
