DEPARTAMENTO,MUNICIPIO,CASOS,%CASOS,CASOS/10K-HAB,PRUEBAS,%PRUEBAS,PRUEBAS/10K-HAB,FALLECIDOS, POBLACION 
ALTA VERAPAZ,CAHABON,1,0.01,0.14,6,0.02,0.83,1,"72,551"
ALTA VERAPAZ,CHAHAL,1,0.01,0.29,3,0.01,0.88,0,"34,246"
ALTA VERAPAZ,CHISEC,8,0.09,0.95,31,0.09,3.69,0,"84,082"
ALTA VERAPAZ,COBAN,18,0.20,0.58,86,0.24,2.77,0,"310,102"
ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,5,0.06,0.63,8,0.02,1.00,0,"79,821"
ALTA VERAPAZ,LANQUIN,1,0.01,0.32,24,0.07,7.72,0,"31,107"
ALTA VERAPAZ,PANZOS,1,0.01,0.14,7,0.02,1.00,0,"69,900"
ALTA VERAPAZ,RAXRUHA,3,0.03,0.72,13,0.04,3.10,0,"41,938"
ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,7,0.08,0.95,42,0.12,5.69,0,"73,848"
ALTA VERAPAZ,SAN JUAN CHAMELCO,3,0.03,0.41,14,0.04,1.91,0,"73,130"
ALTA VERAPAZ,SAN PEDRO CARCHA,8,0.09,0.29,37,0.10,1.32,1,"279,972"
ALTA VERAPAZ,SANTA CATALINA LA TINTA,4,0.04,0.84,48,0.14,10.11,0,"47,496"
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,2,0.02,0.36,13,0.04,2.34,0,"55,587"
ALTA VERAPAZ,SENAHU,2,0.02,0.27,11,0.03,1.46,0,"75,091"
ALTA VERAPAZ,TACTIC,1,0.01,0.23,12,0.03,2.77,0,"43,383"
ALTA VERAPAZ,TAMAHU,1,0.01,0.38,10,0.03,3.79,0,"26,378"
ALTA VERAPAZ,TUCURU,0,0.00,0.00,12,0.03,2.32,0,"51,648"
BAJA VERAPAZ,CUBULCO,7,0.08,0.86,73,0.21,9.02,1,"80,975"
BAJA VERAPAZ,EL CHOL,1,0.01,1.00,7,0.02,6.99,0,"10,012"
BAJA VERAPAZ,GRANADOS,9,0.10,7.70,136,0.38,116.31,0,"11,693"
BAJA VERAPAZ,PURULHA,7,0.08,1.01,70,0.20,10.06,0,"69,589"
BAJA VERAPAZ,RABINAL,42,0.47,10.17,380,1.07,92.02,1,"41,296"
BAJA VERAPAZ,SALAMA,17,0.19,2.60,144,0.41,22.06,1,"65,282"
BAJA VERAPAZ,SAN JERONIMO,1,0.01,0.36,20,0.06,7.15,0,"27,968"
BAJA VERAPAZ,SAN MIGUEL CHICAJ,39,0.43,11.80,286,0.81,86.51,0,"33,058"
CHIMALTENANGO,ACATENANGO,4,0.04,1.58,38,0.11,15.02,0," 25,302 "
CHIMALTENANGO,CHIMALTENANGO,80,0.89,4.65,403,1.14,23.43,0," 172,038 "
CHIMALTENANGO,COMALAPA,13,0.14,2.65,88,0.25,17.94,0," 49,048 "
CHIMALTENANGO,EL TEJAR,18,0.20,5.25,67,0.19,19.54,0," 34,286 "
CHIMALTENANGO,PARRAMOS,3,0.03,1.38,26,0.07,12.00,0," 21,668 "
CHIMALTENANGO,PATZICIA,30,0.33,6.96,88,0.25,20.43,0," 43,074 "
CHIMALTENANGO,PATZUN,31,0.35,5.09,77,0.22,12.65,2," 60,846 "
CHIMALTENANGO,POCHUTA,0,0.00,0.00,0,0.00,0.00,0," 12,376 "
CHIMALTENANGO,SAN ANDRES ITZAPA,7,0.08,1.64,41,0.12,9.62,0," 42,603 "
CHIMALTENANGO,SAN JOSE POAQUIL,8,0.09,2.93,38,0.11,13.93,0," 27,271 "
CHIMALTENANGO,SAN MARTIN JILOTEPEQUE,12,0.13,1.35,56,0.16,6.32,0," 88,579 "
