FECHA,GUATEMALA,SAN MARCOS,QUETZALTENANGO,SUCHITEPEQUEZ,SOLOLA,ESCUINTLA,SACATEPEQUEZ,CHIMALTENANGO,SANTA ROSA,CHIQUIMULA,IZABAL,HUEHUETENANGO,ALTA VERAPAZ,PROGRESO,TOTONICAPAN,JUTIAPA,QUICHE,RETALHULEU,PETEN,BAJA VERAPAZ,ZACAPA,JALAPA
13/03/2020,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/03/2020,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/03/2020,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/03/2020,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/03/2020,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/03/2020,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20/03/2020,16,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21/03/2020,17,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,19,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,19,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24/03/2020,22,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25/03/2020,22,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26/03/2020,22,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27/03/2020,26,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28/03/2020,27,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29/03/2020,28,0,0,0,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30/03/2020,30,0,1,0,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31/03/2020,36,0,1,0,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01/04/2020,37,0,1,0,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
02/04/2020,42,0,1,1,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
03/04/2020,50,0,1,1,0,1,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
04/04/2020,52,0,1,1,0,1,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
05/04/2020,54,0,1,1,0,1,7,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0
06/04/2020,55,0,1,1,1,1,9,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0
07/04/2020,57,0,3,1,1,1,9,11,1,0,2,0,0,0,1,0,0,0,1,0,0,0
08/04/2020,72,0,5,1,4,2,17,19,1,0,3,0,0,0,1,0,0,1,1,0,0,0
09/04/2020,76,0,5,1,4,2,17,19,1,0,3,0,0,0,4,0,0,1,2,0,0,0
10/04/2020,77,0,6,1,5,2,17,20,1,0,4,0,0,1,4,0,1,1,2,0,0,0
11/04/2020,86,0,8,1,6,4,17,24,1,0,4,0,0,1,4,0,1,2,2,0,0,0
12/04/2020,94,0,8,1,6,5,17,24,1,0,4,0,0,1,4,0,1,2,2,0,0,0
13/04/2020,94,0,8,1,6,6,17,24,1,0,4,0,0,1,4,0,1,2,2,0,0,0
14/04/2020,96,0,9,1,6,7,21,24,1,0,4,1,0,1,5,0,1,2,2,0,0,1
15/04/2020,104,7,18,4,6,11,21,27,1,2,7,18,2,2,6,2,5,2,3,0,0,3
16/04/2020,108,8,19,4,6,14,21,28,1,2,7,19,2,4,6,3,5,2,3,0,0,3
17/04/2020,108,8,19,4,6,14,21,28,1,2,7,19,2,5,6,3,5,2,3,0,0,3
18/04/2020,110,8,19,4,6,14,21,28,1,2,7,19,2,5,6,3,5,2,3,0,0,3
19/04/2020,118,8,19,4,6,14,21,31,1,2,7,19,3,10,6,3,5,2,3,1,1,3
20/04/2020,124,8,19,4,6,15,21,31,1,2,7,19,3,10,6,3,5,2,3,1,2,3
21/04/2020,138,9,22,4,7,16,22,31,1,2,7,28,3,19,6,3,5,2,3,1,2,3
22/04/2020,143,9,22,4,8,16,23,31,2,2,8,35,3,19,6,3,7,2,3,1,2,4
23/04/2020,152,11,23,4,8,16,23,31,3,3,8,35,4,22,6,3,8,2,3,3,4,4
24/04/2020,189,11,23,4,8,17,23,32,3,3,8,35,4,28,7,3,8,2,3,3,4,4
25/04/2020,214,13,23,5,8,19,24,38,4,4,9,35,4,29,7,3,8,2,3,4,5,4
26/04/2020,223,15,24,5,9,20,24,38,4,4,10,37,4,30,7,4,10,2,3,5,7,5
27/04/2020,227,16,24,5,9,20,24,40,4,4,17,38,4,37,10,4,11,2,3,6,9,5
28/04/2020,244,16,24,5,9,21,24,40,4,4,17,38,4,43,10,4,11,3,3,6,9,5
29/04/2020,260,16,24,5,11,21,25,41,4,4,17,38,4,43,10,5,11,3,3,10,11,5
30/04/2020,266,16,24,5,11,22,25,43,4,4,17,38,4,46,10,7,11,3,3,10,11,5
01/05/2020,286,17,24,5,11,22,25,43,4,4,17,39,5,49,10,7,11,3,4,10,22,6
02/05/2020,316,20,24,5,12,22,25,43,4,4,17,39,6,51,10,10,12,3,4,11,22,7
03/05/2020,326,21,24,5,12,22,25,43,4,4,17,39,6,52,13,10,12,3,4,11,22,7
04/05/2020,344,21,24,6,12,22,25,44,4,4,17,39,6,53,13,11,12,3,4,12,23,7
05/05/2020,352,21,24,7,12,24,27,44,4,4,17,39,6,62,23,11,12,3,5,12,23,7
06/05/2020,373,23,25,7,12,26,28,45,4,4,18,40,6,62,24,11,12,5,5,13,23,8
